Date,Price
9/29/2015,236.9
9/30/2015,237.1
10/1/2015,238.3
10/2/2015,238.3
10/3/2015,239.9
10/4/2015,239.9
10/5/2015,240.9
10/6/2015,246.6
10/7/2015,244
10/8/2015,242.9
10/9/2015,244.4
10/10/2015,246.1
10/11/2015,249
10/12/2015,246.4
10/13/2015,251
10/14/2015,253.3
10/15/2015,255
10/16/2015,263.4
10/17/2015,272.9
10/18/2015,265
10/19/2015,265.2
10/20/2015,271.1
10/21/2015,268.8
10/22/2015,275.8
10/23/2015,278.8
10/24/2015,284.3
10/25/2015,285
10/26/2015,287.1
10/27/2015,295.6
10/28/2015,304.1
10/29/2015,316.1
10/30/2015,329.1
10/31/2015,314.9
11/1/2015,329.5
11/2/2015,365.2
11/3/2015,404.1
11/4/2015,410
11/5/2015,387.2
11/6/2015,374.1
11/7/2015,384.8
11/8/2015,373.8
11/9/2015,379.5
11/10/2015,337.1
11/11/2015,313.2
11/12/2015,336.5
11/13/2015,338.1
11/14/2015,334.7
11/15/2015,322.9
11/16/2015,332.9
11/17/2015,336.5
11/18/2015,335.5
11/19/2015,326.4
11/20/2015,322.4
11/21/2015,327
11/22/2015,323.7
11/23/2015,323
11/24/2015,321
11/25/2015,329
11/26/2015,352.6
11/27/2015,358.2
11/28/2015,357.2
11/29/2015,372.2
11/30/2015,376.9
12/1/2015,362.7
12/2/2015,360
12/3/2015,361.8
12/4/2015,364
12/5/2015,388
12/6/2015,387.5
12/7/2015,394.7
12/8/2015,418.9
12/9/2015,418.4
12/10/2015,415.7
12/11/2015,453
12/12/2015,436.9
12/13/2015,433.8
12/14/2015,444
12/15/2015,464.3
12/16/2015,454
12/17/2015,455.5
12/18/2015,463.2
12/19/2015,461.3
12/20/2015,442.2
12/21/2015,436.8
12/22/2015,433.9
12/23/2015,442.4
12/24/2015,455.7
12/25/2015,455.8
12/26/2015,419.4
12/27/2015,424.7
12/28/2015,421.9
12/29/2015,433.9
12/30/2015,428
12/31/2015,430.4
1/1/2016,435.7
1/2/2016,435.4
1/3/2016,431.9
1/4/2016,433.9
1/5/2016,433.3
1/6/2016,430.9
