Date,Price
9/29/2015,0.68
9/30/2015,0.71
10/1/2015,0.65
10/2/2015,0.66
10/3/2015,0.68
10/4/2015,0.61
10/5/2015,0.61
10/6/2015,0.65
10/7/2015,0.6
10/8/2015,0.62
10/9/2015,0.64
10/10/2015,0.64
10/11/2015,0.6
10/12/2015,0.63
10/13/2015,0.6
10/14/2015,0.5
10/15/2015,0.56
10/16/2015,0.52
10/17/2015,0.52
10/18/2015,0.5
10/19/2015,0.5
10/20/2015,0.44
10/21/2015,0.42
10/22/2015,0.61
10/23/2015,0.56
10/24/2015,0.56
10/25/2015,0.62
10/26/2015,0.71
10/27/2015,0.83
10/28/2015,0.99
10/29/2015,1.12
10/30/2015,1.14
10/31/2015,0.87
11/1/2015,0.99
11/2/2015,0.99
11/3/2015,1.06
11/4/2015,0.8
11/5/2015,0.88
11/6/2015,0.99
11/7/2015,0.93
11/8/2015,1
11/9/2015,1
11/10/2015,0.9
11/11/2015,0.75
11/12/2015,0.88
11/13/2015,0.9
11/14/2015,0.88
11/15/2015,0.92
11/16/2015,0.93
11/17/2015,1
11/18/2015,1
11/19/2015,0.94
11/20/2015,0.92
11/21/2015,0.96
11/22/2015,0.97
11/23/2015,0.92
11/24/2015,0.91
11/25/2015,0.87
11/26/2015,0.86
11/27/2015,0.88
11/28/2015,0.91
11/29/2015,0.87
11/30/2015,0.88
12/1/2015,0.87
12/2/2015,0.82
12/3/2015,0.83
12/4/2015,0.84
12/5/2015,0.87
12/6/2015,0.82
12/7/2015,0.79
12/8/2015,0.81
12/9/2015,0.81
12/10/2015,0.84
12/11/2015,0.9
12/12/2015,0.96
12/13/2015,0.92
12/14/2015,0.99
12/15/2015,1
12/16/2015,0.8
12/17/2015,0.94
12/18/2015,0.9
12/19/2015,0.89
12/20/2015,1.07
12/21/2015,0.91
12/22/2015,0.88
12/23/2015,0.87
12/24/2015,0.87
12/25/2015,0.88
12/26/2015,0.85
12/27/2015,0.92
12/28/2015,0.87
12/29/2015,0.86
12/30/2015,0.89
12/31/2015,0.95
1/1/2016,0.92
1/2/2016,0.95
1/3/2016,0.96
1/4/2016,0.95
1/5/2016,0.94
1/6/2016,0.95
1/7/2016,0.94
1/8/2016,0.99
1/9/2016,0.99
1/10/2016,1
1/11/2016,1.08
1/12/2016,1.22
1/13/2016,1.14
1/14/2016,1.16
1/15/2016,1.2
1/16/2016,1.22
1/17/2016,1.31
1/18/2016,1.47
1/19/2016,1.22
1/20/2016,1.54
1/21/2016,1.54
1/22/2016,1.52
1/23/2016,2.03
1/24/2016,2.1
1/25/2016,2.5
1/26/2016,2.3
1/27/2016,2.42
1/28/2016,2.55
1/29/2016,2.41
1/30/2016,2.44
1/31/2016,2.2
2/1/2016,2.17
2/2/2016,2.45
2/3/2016,2.53
2/4/2016,2.57
2/5/2016,2.56
2/6/2016,2.53
2/7/2016,3
2/8/2016,3.16
2/9/2016,3.76
2/10/2016,4.35
2/11/2016,6.38
2/12/2016,5.27
2/13/2016,5.22
2/14/2016,5.2
2/15/2016,5.22
2/16/2016,4.25
2/17/2016,3.86
2/18/2016,4.36
2/19/2016,4.45
2/20/2016,4.37
2/21/2016,4.63
2/22/2016,5.6
2/23/2016,5.7
2/24/2016,6.23
2/25/2016,5.93
2/26/2016,6.03
2/27/2016,6.31
2/28/2016,6.5
2/29/2016,6.35
3/1/2016,7.59
3/2/2016,8.7
3/3/2016,9.35
3/4/2016,9.96
3/5/2016,11
3/6/2016,10.98
3/7/2016,9.5
3/8/2016,9.88
3/9/2016,11.55
3/10/2016,11.11
3/11/2016,11.25
3/12/2016,13.25
3/13/2016,15
3/14/2016,12.5
3/15/2016,13.09
3/16/2016,12.92
3/17/2016,11.14
3/18/2016,10.75
3/19/2016,10.55
3/20/2016,10.06
3/21/2016,11.97
3/22/2016,10.96
3/23/2016,12.29
3/24/2016,11.13
3/25/2016,10.69
3/26/2016,11
3/27/2016,10.5
3/28/2016,11.58
3/29/2016,11.73
3/30/2016,11.88
3/31/2016,11.41
4/1/2016,11.63
4/2/2016,11.61
4/3/2016,11.58
4/4/2016,11.1
4/5/2016,10.39
4/6/2016,10.79
4/7/2016,10.08
4/8/2016,9.74
4/9/2016,9.16
4/10/2016,8.8
4/11/2016,8.72
4/12/2016,7.53
4/13/2016,8.02
4/14/2016,8.48
4/15/2016,8.22
4/16/2016,8.48
4/17/2016,9.45
4/18/2016,8.92
4/19/2016,8.77
4/20/2016,8.54
4/21/2016,8.15
4/22/2016,7.83
4/23/2016,8.31
4/24/2016,8
4/25/2016,7.43
4/26/2016,7.5
4/27/2016,7.77
4/28/2016,7.3
4/29/2016,7.51
4/30/2016,8.83
5/1/2016,8.76
5/2/2016,10.03
5/3/2016,9.37
5/4/2016,9.43
5/5/2016,9.79
5/6/2016,9.27
5/7/2016,9.3
5/8/2016,9.44
5/9/2016,9.32
5/10/2016,9.39
5/11/2016,9.97
5/12/2016,10.1
5/13/2016,10.48
5/14/2016,10.14
5/15/2016,9.94
5/16/2016,11.04
5/17/2016,12.26
5/18/2016,13.29
5/19/2016,14.49
5/20/2016,13.73
5/21/2016,13.95
5/22/2016,14.21
5/23/2016,13.45
5/24/2016,12.62
5/25/2016,12.53
5/26/2016,12.37
5/27/2016,11.11
5/28/2016,11.56
5/29/2016,12.28
5/30/2016,12.48
5/31/2016,13.85
6/1/2016,13.83
6/2/2016,13.78
6/3/2016,13.78
6/4/2016,13.66
6/5/2016,13.85
6/6/2016,13.96
6/7/2016,14.41
6/8/2016,14.44
6/9/2016,14.49
6/10/2016,13.97
6/11/2016,14.01
6/12/2016,15.57
6/13/2016,17.55
6/14/2016,18.7
6/15/2016,18.3
6/16/2016,20.61
6/17/2016,15.49
6/18/2016,11.36
6/19/2016,12.33
6/20/2016,11.7
6/21/2016,12.71
6/22/2016,13.21
6/23/2016,13.58
6/24/2016,14.25
6/25/2016,14.28
6/26/2016,13.82
6/27/2016,14.04
6/28/2016,12.15
6/29/2016,12.76
6/30/2016,12.4
7/1/2016,12.23
7/2/2016,12.04
7/3/2016,11.85
7/4/2016,11.34
7/5/2016,10.45
7/6/2016,10.51
7/7/2016,10.07
7/8/2016,11.3
7/9/2016,10.92
