Date,Close
1/2/1991,0.733
1/3/1991,0.702
1/4/1991,0.683
1/7/1991,0.762
1/8/1991,0.743
1/9/1991,0.771
1/10/1991,0.771
1/11/1991,0.774
1/14/1991,0.89
1/15/1991,0.847
1/16/1991,0.916
1/17/1991,0.62
1/18/1991,0.615
1/21/1991,0.658
1/22/1991,0.685
1/23/1991,0.702
1/24/1991,0.698
1/25/1991,0.694
1/28/1991,0.683
1/29/1991,0.704
1/30/1991,0.702
1/31/1991,0.713
2/1/1991,0.622
2/4/1991,0.617
2/5/1991,0.631
2/6/1991,0.663
2/7/1991,0.655
2/8/1991,0.672
2/11/1991,0.711
2/12/1991,0.708
2/13/1991,0.671
2/14/1991,0.659
2/15/1991,0.623
2/19/1991,0.606
2/20/1991,0.647
2/21/1991,0.614
2/22/1991,0.601
2/25/1991,0.62
2/26/1991,0.637
2/27/1991,0.644
2/28/1991,0.654
3/1/1991,0.546
3/4/1991,0.561
3/5/1991,0.571
3/6/1991,0.561
3/7/1991,0.555
3/8/1991,0.554
3/11/1991,0.544
3/12/1991,0.558
3/13/1991,0.568
3/14/1991,0.565
3/15/1991,0.557
3/18/1991,0.558
3/19/1991,0.577
3/20/1991,0.577
3/21/1991,0.585
3/22/1991,0.583
3/25/1991,0.565
3/26/1991,0.568
3/27/1991,0.566
3/28/1991,0.569
4/1/1991,0.535
4/2/1991,0.542
4/3/1991,0.533
4/4/1991,0.542
4/5/1991,0.542
4/8/1991,0.545
4/9/1991,0.545
4/10/1991,0.56
4/11/1991,0.554
4/12/1991,0.56
4/15/1991,0.57
4/16/1991,0.556
4/17/1991,0.561
4/18/1991,0.557
4/19/1991,0.561
4/22/1991,0.572
4/23/1991,0.57
4/24/1991,0.565
4/25/1991,0.559
4/26/1991,0.559
4/29/1991,0.553
4/30/1991,0.536
5/1/1991,0.543
5/2/1991,0.539
5/3/1991,0.547
5/6/1991,0.556
5/7/1991,0.558
5/8/1991,0.557
5/9/1991,0.561
5/10/1991,0.551
5/13/1991,0.545
5/14/1991,0.547
5/15/1991,0.555
5/16/1991,0.557
5/17/1991,0.559
5/20/1991,0.56
5/21/1991,0.561
5/22/1991,0.56
5/23/1991,0.561
5/24/1991,0.555
5/28/1991,0.558
5/29/1991,0.557
5/30/1991,0.567
5/31/1991,0.565
6/3/1991,0.564
6/4/1991,0.56
6/5/1991,0.543
6/6/1991,0.542
6/7/1991,0.538
6/10/1991,0.526
6/11/1991,0.532
6/12/1991,0.541
6/13/1991,0.534
6/14/1991,0.537
6/17/1991,0.538
6/18/1991,0.539
6/19/1991,0.536
6/20/1991,0.545
6/21/1991,0.543
6/24/1991,0.538
6/25/1991,0.536
6/26/1991,0.537
6/27/1991,0.544
6/28/1991,0.553
7/1/1991,0.561
7/2/1991,0.565
7/3/1991,0.561
7/5/1991,0.567
7/8/1991,0.574
7/9/1991,0.573
7/10/1991,0.584
7/11/1991,0.582
7/12/1991,0.6
7/15/1991,0.591
7/16/1991,0.592
7/17/1991,0.598
7/18/1991,0.589
7/19/1991,0.594
7/22/1991,0.592
7/23/1991,0.577
7/24/1991,0.581
7/25/1991,0.584
7/26/1991,0.588
7/29/1991,0.587
7/30/1991,0.59
7/31/1991,0.602
8/1/1991,0.595
8/2/1991,0.598
8/5/1991,0.601
8/6/1991,0.591
8/7/1991,0.59
8/8/1991,0.595
8/9/1991,0.6
8/12/1991,0.601
8/13/1991,0.598
8/14/1991,0.595
8/15/1991,0.604
8/16/1991,0.607
8/19/1991,0.65
8/20/1991,0.663
8/21/1991,0.618
8/22/1991,0.622
8/23/1991,0.62
8/26/1991,0.622
8/27/1991,0.622
8/28/1991,0.622
8/29/1991,0.632
8/30/1991,0.641
9/3/1991,0.646
9/4/1991,0.63
9/5/1991,0.626
9/6/1991,0.623
9/9/1991,0.616
9/10/1991,0.614
9/11/1991,0.616
9/12/1991,0.612
9/13/1991,0.617
9/16/1991,0.621
9/17/1991,0.611
9/18/1991,0.619
9/19/1991,0.619
9/20/1991,0.626
9/23/1991,0.638
9/24/1991,0.637
9/25/1991,0.636
9/26/1991,0.63
9/27/1991,0.635
9/30/1991,0.637
10/1/1991,0.642
10/2/1991,0.646
10/3/1991,0.656
10/4/1991,0.656
10/7/1991,0.668
10/8/1991,0.671
10/9/1991,0.68
10/10/1991,0.674
10/11/1991,0.675
10/14/1991,0.691
10/15/1991,0.692
10/16/1991,0.684
10/17/1991,0.694
10/18/1991,0.698
10/21/1991,0.702
10/22/1991,0.695
10/23/1991,0.681
10/24/1991,0.693
10/25/1991,0.684
10/28/1991,0.682
10/29/1991,0.684
10/30/1991,0.684
10/31/1991,0.686
11/1/1991,0.707
11/4/1991,0.717
11/5/1991,0.718
11/6/1991,0.71
11/7/1991,0.703
11/8/1991,0.696
11/11/1991,0.676
11/12/1991,0.666
11/13/1991,0.659
11/14/1991,0.657
11/15/1991,0.675
11/18/1991,0.654
11/19/1991,0.644
11/20/1991,0.637
11/21/1991,0.636
11/22/1991,0.621
11/25/1991,0.625
11/26/1991,0.617
11/27/1991,0.618
11/29/1991,0.617
12/2/1991,0.615
12/3/1991,0.595
12/4/1991,0.603
12/5/1991,0.593
12/6/1991,0.571
12/9/1991,0.544
12/10/1991,0.55
12/11/1991,0.558
12/12/1991,0.566
12/13/1991,0.572
12/16/1991,0.568
12/17/1991,0.558
12/18/1991,0.547
12/19/1991,0.535
12/20/1991,0.511
12/23/1991,0.518
12/24/1991,0.518
12/26/1991,0.503
12/27/1991,0.504
12/30/1991,0.481
12/31/1991,0.483
1/2/1992,0.516
1/3/1992,0.521
1/6/1992,0.519
1/7/1992,0.509
1/8/1992,0.494
1/9/1992,0.498
1/10/1992,0.515
1/13/1992,0.546
1/14/1992,0.531
1/15/1992,0.54
1/16/1992,0.549
1/17/1992,0.549
1/20/1992,0.545
1/21/1992,0.533
1/22/1992,0.529
1/23/1992,0.532
1/24/1992,0.547
1/27/1992,0.554
1/28/1992,0.541
1/29/1992,0.54
1/30/1992,0.521
1/31/1992,0.528
2/3/1992,0.535
2/4/1992,0.548
2/5/1992,0.554
2/6/1992,0.552
2/7/1992,0.564
2/10/1992,0.566
2/11/1992,0.552
2/12/1992,0.554
2/13/1992,0.557
2/14/1992,0.545
2/18/1992,0.513
2/19/1992,0.525
2/20/1992,0.528
2/21/1992,0.527
2/24/1992,0.516
2/25/1992,0.513
2/26/1992,0.509
2/27/1992,0.512
2/28/1992,0.515
3/2/1992,0.502
3/3/1992,0.509
3/4/1992,0.514
3/5/1992,0.515
3/6/1992,0.51
3/9/1992,0.512
3/10/1992,0.518
3/11/1992,0.513
3/12/1992,0.522
3/13/1992,0.534
3/16/1992,0.536
3/17/1992,0.541
3/18/1992,0.532
3/19/1992,0.543
3/20/1992,0.533
3/23/1992,0.535
3/24/1992,0.532
3/25/1992,0.528
3/26/1992,0.528
3/27/1992,0.522
3/30/1992,0.531
3/31/1992,0.537
4/1/1992,0.544
4/2/1992,0.543
4/3/1992,0.557
4/6/1992,0.56
4/7/1992,0.554
4/8/1992,0.563
4/9/1992,0.555
4/10/1992,0.561
4/13/1992,0.555
4/14/1992,0.551
4/15/1992,0.556
4/16/1992,0.565
4/20/1992,0.567
4/21/1992,0.574
4/22/1992,0.558
4/23/1992,0.554
4/24/1992,0.553
4/27/1992,0.553
4/28/1992,0.561
4/29/1992,0.57
4/30/1992,0.579
5/1/1992,0.567
5/4/1992,0.576
5/5/1992,0.566
5/6/1992,0.571
5/7/1992,0.574
5/8/1992,0.577
5/11/1992,0.583
5/12/1992,0.575
5/13/1992,0.572
5/14/1992,0.568
5/15/1992,0.572
5/18/1992,0.571
5/19/1992,0.561
5/20/1992,0.552
5/21/1992,0.561
5/22/1992,0.563
5/26/1992,0.596
5/27/1992,0.593
5/28/1992,0.6
5/29/1992,0.605
6/1/1992,0.603
6/2/1992,0.604
6/3/1992,0.608
6/4/1992,0.609
6/5/1992,0.619
6/8/1992,0.613
6/9/1992,0.606
6/10/1992,0.615
6/11/1992,0.609
6/12/1992,0.612
6/15/1992,0.61
6/16/1992,0.608
6/17/1992,0.61
6/18/1992,0.612
6/19/1992,0.615
6/22/1992,0.618
6/23/1992,0.621
6/24/1992,0.637
6/25/1992,0.632
6/26/1992,0.623
6/29/1992,0.619
6/30/1992,0.601
7/1/1992,0.605
7/2/1992,0.612
7/6/1992,0.602
7/7/1992,0.587
7/8/1992,0.591
7/9/1992,0.593
7/10/1992,0.594
7/13/1992,0.601
7/14/1992,0.599
7/15/1992,0.603
7/16/1992,0.601
7/17/1992,0.599
7/20/1992,0.606
7/21/1992,0.599
7/22/1992,0.609
7/23/1992,0.617
7/24/1992,0.624
7/27/1992,0.624
7/28/1992,0.618
7/29/1992,0.609
7/30/1992,0.604
7/31/1992,0.605
8/3/1992,0.598
8/4/1992,0.591
8/5/1992,0.586
8/6/1992,0.596
8/7/1992,0.587
8/10/1992,0.582
8/11/1992,0.576
8/12/1992,0.579
8/13/1992,0.587
8/14/1992,0.589
8/17/1992,0.594
8/18/1992,0.588
8/19/1992,0.582
8/20/1992,0.584
8/21/1992,0.578
8/24/1992,0.593
8/25/1992,0.582
8/26/1992,0.581
8/27/1992,0.583
8/28/1992,0.594
8/31/1992,0.605
9/1/1992,0.612
9/2/1992,0.607
9/3/1992,0.606
9/4/1992,0.608
9/8/1992,0.618
9/9/1992,0.617
9/10/1992,0.622
9/11/1992,0.628
9/14/1992,0.635
9/15/1992,0.631
9/16/1992,0.63
9/17/1992,0.624
9/18/1992,0.618
9/21/1992,0.622
9/22/1992,0.626
9/23/1992,0.64
9/24/1992,0.633
9/25/1992,0.628
9/28/1992,0.632
9/29/1992,0.629
9/30/1992,0.632
10/1/1992,0.639
10/2/1992,0.638
10/5/1992,0.635
10/6/1992,0.633
10/7/1992,0.638
10/8/1992,0.642
10/9/1992,0.659
10/12/1992,0.655
10/13/1992,0.645
10/14/1992,0.646
10/15/1992,0.655
10/16/1992,0.651
10/19/1992,0.648
10/20/1992,0.642
10/21/1992,0.626
10/22/1992,0.619
10/23/1992,0.618
10/26/1992,0.619
10/27/1992,0.617
10/28/1992,0.614
10/29/1992,0.595
10/30/1992,0.588
11/2/1992,0.601
11/3/1992,0.594
11/4/1992,0.584
11/5/1992,0.589
11/6/1992,0.574
11/9/1992,0.584
11/10/1992,0.581
11/11/1992,0.586
11/12/1992,0.58
11/13/1992,0.578
11/16/1992,0.589
11/17/1992,0.581
11/18/1992,0.565
11/19/1992,0.573
11/20/1992,0.573
11/23/1992,0.56
11/24/1992,0.565
11/25/1992,0.571
11/30/1992,0.561
12/1/1992,0.558
12/2/1992,0.558
12/3/1992,0.543
12/4/1992,0.542
12/7/1992,0.555
12/8/1992,0.545
12/9/1992,0.544
12/10/1992,0.559
12/11/1992,0.547
12/14/1992,0.542
12/15/1992,0.538
12/16/1992,0.555
12/17/1992,0.563
12/18/1992,0.561
12/21/1992,0.571
12/22/1992,0.568
12/23/1992,0.589
12/28/1992,0.578
12/29/1992,0.568
12/30/1992,0.569
12/31/1992,0.564
1/4/1993,0.552
1/5/1993,0.558
1/6/1993,0.543
1/7/1993,0.536
1/8/1993,0.537
1/11/1993,0.535
1/12/1993,0.526
1/13/1993,0.525
1/14/1993,0.531
1/15/1993,0.534
1/18/1993,0.533
1/19/1993,0.529
1/20/1993,0.517
1/21/1993,0.52
1/22/1993,0.52
1/25/1993,0.546
1/26/1993,0.552
1/27/1993,0.545
1/28/1993,0.565
1/29/1993,0.558
2/1/1993,0.567
2/2/1993,0.559
2/3/1993,0.56
2/4/1993,0.567
2/5/1993,0.569
2/8/1993,0.567
2/9/1993,0.563
2/10/1993,0.566
2/11/1993,0.567
2/12/1993,0.556
2/16/1993,0.551
2/17/1993,0.546
2/18/1993,0.545
2/19/1993,0.553
2/22/1993,0.565
2/23/1993,0.573
2/24/1993,0.574
2/25/1993,0.588
2/26/1993,0.58
3/2/1993,0.577
3/3/1993,0.582
3/4/1993,0.598
3/5/1993,0.593
3/8/1993,0.581
3/9/1993,0.583
3/10/1993,0.581
3/11/1993,0.573
3/12/1993,0.582
3/15/1993,0.573
3/16/1993,0.581
3/17/1993,0.579
3/18/1993,0.584
3/19/1993,0.58
3/22/1993,0.572
3/23/1993,0.581
3/24/1993,0.581
3/25/1993,0.582
3/26/1993,0.577
3/29/1993,0.569
3/30/1993,0.56
3/31/1993,0.559
4/1/1993,0.567
4/2/1993,0.572
4/5/1993,0.57
4/6/1993,0.559
4/7/1993,0.566
4/8/1993,0.56
4/12/1993,0.565
4/13/1993,0.561
4/14/1993,0.56
4/15/1993,0.559
4/16/1993,0.559
4/19/1993,0.555
4/20/1993,0.551
4/21/1993,0.552
4/22/1993,0.548
4/23/1993,0.558
4/26/1993,0.557
4/27/1993,0.554
4/28/1993,0.551
4/29/1993,0.56
4/30/1993,0.555
5/3/1993,0.559
5/4/1993,0.556
5/5/1993,0.557
5/6/1993,0.559
5/7/1993,0.562
5/10/1993,0.564
5/11/1993,0.559
5/12/1993,0.551
5/13/1993,0.54
5/14/1993,0.536
5/17/1993,0.541
5/18/1993,0.538
5/19/1993,0.54
5/20/1993,0.549
5/21/1993,0.544
5/24/1993,0.539
5/25/1993,0.543
5/26/1993,0.543
5/27/1993,0.546
5/28/1993,0.549
6/1/1993,0.551
6/2/1993,0.548
6/3/1993,0.542
6/4/1993,0.541
6/7/1993,0.536
6/8/1993,0.537
6/9/1993,0.539
6/10/1993,0.532
6/11/1993,0.53
6/14/1993,0.524
6/15/1993,0.52
6/16/1993,0.524
6/17/1993,0.52
6/18/1993,0.522
6/21/1993,0.519
6/22/1993,0.519
6/23/1993,0.521
6/24/1993,0.52
6/25/1993,0.523
6/28/1993,0.524
6/29/1993,0.526
6/30/1993,0.524
7/1/1993,0.517
7/2/1993,0.508
7/6/1993,0.513
7/7/1993,0.506
7/8/1993,0.498
7/9/1993,0.505
7/12/1993,0.507
7/13/1993,0.505
7/14/1993,0.493
7/15/1993,0.497
7/16/1993,0.488
7/19/1993,0.505
7/20/1993,0.497
7/21/1993,0.502
7/22/1993,0.497
7/23/1993,0.502
7/26/1993,0.504
7/27/1993,0.516
7/28/1993,0.513
7/29/1993,0.508
7/30/1993,0.499
8/2/1993,0.512
8/3/1993,0.507
8/4/1993,0.507
8/5/1993,0.501
8/6/1993,0.494
8/9/1993,0.502
8/10/1993,0.5
8/11/1993,0.516
8/12/1993,0.527
8/13/1993,0.536
8/16/1993,0.528
8/17/1993,0.529
8/18/1993,0.523
8/19/1993,0.524
8/20/1993,0.527
8/23/1993,0.533
8/24/1993,0.53
8/25/1993,0.525
8/26/1993,0.529
8/27/1993,0.538
8/30/1993,0.54
8/31/1993,0.527
9/2/1993,0.532
9/3/1993,0.529
9/7/1993,0.511
9/8/1993,0.511
9/9/1993,0.514
9/10/1993,0.513
9/13/1993,0.514
