DATE,US10Y
12/31/1962,3.85
12/31/1963,4.14
12/31/1964,4.21
12/31/1965,4.65
12/31/1966,4.64
12/31/1967,5.7
12/31/1968,6.16
12/31/1969,7.88
12/31/1970,6.5
12/31/1971,5.89
12/31/1972,6.41
12/31/1973,6.9
12/31/1974,7.4
12/31/1975,7.76
12/31/1976,6.81
12/31/1977,7.78
12/31/1978,9.15
12/31/1979,10.33
12/31/1980,12.43
12/31/1981,13.98
12/31/1982,10.36
12/31/1983,11.82
12/31/1984,11.55
12/31/1985,9
12/31/1986,7.23
12/31/1987,8.83
12/31/1988,9.14
12/31/1989,7.93
12/31/1990,8.08
12/31/1991,6.71
12/31/1992,6.7
12/31/1993,5.83
12/31/1994,7.84
12/31/1995,5.58
12/31/1996,6.43
12/31/1997,5.75
12/31/1998,4.65
12/31/1999,6.45
12/31/2000,5.12
12/31/2001,5.07
12/31/2002,3.83
12/31/2003,4.27
12/31/2004,4.24
12/31/2005,4.39
12/31/2006,4.71
12/31/2007,4.04
12/31/2008,2.25
12/31/2009,3.85
12/31/2010,3.3
12/31/2011,1.89
12/31/2012,1.78
12/31/2013,3.04
12/31/2014,2.17
12/31/2015,2.27
12/31/2016,2.45
