date,HPQ,INTC,JPM,KEY,KMI,KO,MRK,MRO,MSFT,MU,NFLX,NVDA,ORCL,PFE,QCOM,RF,SBUX,T,V,VZ,WFC,XOM,XRX,YHOO,AAPL,ABT,AIG,AMAT,ARNC,BAC,BSX,C,CHK,CMCSA,CSCO,DAL,EBAY,F,FB,FCX,FITB,FOXA,FTR,GE,GILD,GLW,GM,HAL,HBAN,HPE
1/4/2010,52.45,20.88,42.85,5.94,NaN,57.04,37.01,32.11,30.95,10.85,53.48,18.49,24.85,18.93,46.94,5.42,23.05,28.58,88.14,33.28,27.32,69.15,8.63,17.1,214.01,54.46,29.89,14.3,16.65,15.69,9.01,3.4,28.09,16.97,24.69,11.22,23.9,10.28,NaN,83.46,10.12,13.93,7.96,15.45,43.3,19.56,NaN,31.25,3.68,NaN
1/5/2010,52.67,20.87,43.68,6.17,NaN,56.35,37.16,32.14,30.96,11.17,51.51,18.76,24.82,18.66,48.07,5.6,23.59,28.44,87.13,33.34,28.07,69.42,8.64,17.23,214.38,54.02,29.33,14.19,16.13,16.2,9.04,3.53,28.97,16.74,24.58,12.1,23.65,10.96,NaN,83.96,10.39,13.97,7.91,15.53,43.26,19.63,NaN,31.65,3.76,NaN
1/6/2010,52.18,20.8,43.92,6.13,NaN,56.33,37.66,32.85,30.77,11.22,53.32,18.88,24.46,18.6,47.6,5.67,23.42,27.61,85.96,31.92,28.11,70.02,8.56,17.17,210.97,54.32,29.14,14.16,16.97,16.39,9.16,3.64,28.65,16.62,24.42,12.11,23.5,11.37,NaN,87.31,10.45,14.2,7.8,15.45,44.76,19.38,NaN,32.4,3.86,NaN
1/7/2010,52.2,20.6,44.79,6.39,NaN,56.19,37.72,32.65,30.45,10.84,52.4,18.51,24.38,18.53,48.98,6.17,23.36,27.3,86.76,31.73,29.13,69.8,8.6,16.7,210.58,54.77,28.58,14.01,16.61,16.93,9.09,3.65,28.72,16.97,24.53,12.69,23.23,11.66,NaN,85.64,11.08,14,7.76,16.25,44.87,19.57,NaN,32.48,4.29,NaN
1/8/2010,52.59,20.83,44.68,6.5,NaN,55.15,37.7,32.7,30.66,11.1,53.3,18.55,24.68,18.68,49.47,6.18,23.28,27.1,87,31.75,28.86,69.52,8.57,16.7,211.98,55.05,29.34,14.55,17.02,16.78,9,3.59,28.91,16.92,24.66,12.47,23.51,11.69,NaN,88.1,11.09,14.12,7.68,16.6,44.54,19.89,NaN,34.12,4.22,NaN
1/11/2010,52.43,20.95,44.53,6.53,NaN,56.27,37.85,32.7,30.27,10.9,53.23,18.29,24.69,18.83,49.29,6.32,23.21,26.97,86.75,31.88,28.8,70.3,8.78,16.74,210.11,55.33,29.63,14.87,17.45,16.93,9.07,3.63,28,16.81,24.59,12.79,23.45,12.11,NaN,88.09,11.2,14.08,7.66,16.76,44.89,20.49,NaN,33.78,4.33,NaN
1/12/2010,51.97,20.61,43.49,6.41,NaN,56.88,37.55,32.25,30.07,10.26,52.37,17.67,24.56,18.77,48.49,6.25,22.82,26.96,86.34,31.91,28.08,69.95,8.85,16.68,207.72,55.17,28.46,14.2,15.52,16.36,9.14,3.52,27.58,16.51,24.2,12.54,23.19,11.87,NaN,84.77,10.99,13.45,7.57,16.77,44.95,20.17,NaN,33.29,4.21,NaN
1/13/2010,52.22,20.96,44.25,6.49,NaN,57.03,38.93,32.14,30.35,10.46,53.96,17.91,24.8,19.21,48.7,6.36,23.38,26.64,87.14,31.87,28.58,69.67,8.95,16.9,210.65,55.29,29.06,14.27,15.98,16.62,9.15,3.5,27.82,16.77,24.64,12.85,23.6,11.68,NaN,86.15,11.52,13.34,7.62,16.83,45.51,20.31,NaN,34.05,4.31,NaN
1/14/2010,52.51,21.48,44.69,6.85,NaN,57.13,39.99,31.97,30.96,10.73,50.99,17.63,25.34,19.38,48.37,6.55,23.55,26.19,87.44,31.22,28.99,69.68,8.89,17.12,209.43,55.35,28.6,14.35,15.81,16.82,9.51,3.51,27.67,16.67,24.95,13.17,22.88,11.76,NaN,85.08,11.77,13.44,7.62,16.7,45.46,20.2,NaN,34.31,4.41,NaN
1/15/2010,52.47,20.8,43.68,6.88,NaN,56.29,39.47,31.64,30.86,10.13,50.95,17.11,25.24,19.49,48.53,6.52,23.27,25.79,86.14,30.58,28.08,69.11,8.84,16.82,205.93,55.49,28.06,13.73,15.63,16.26,9.43,3.42,27.91,16.63,24.4,12.74,22.47,11.6,NaN,84.3,11.36,13.19,7.49,16.44,45.52,19.66,NaN,34.03,4.28,NaN
1/19/2010,52.75,21.05,43.28,6.76,NaN,56.42,40.62,32.13,31.1,10.28,51.2,17.43,25.33,20,49.32,6.51,23.58,26.2,87.85,31.23,28.28,69.27,9.02,16.75,215.04,56.2,28.25,13.97,15.62,16.32,9.62,3.54,28.21,16.81,24.85,13.03,23.26,11.75,NaN,84.6,11.39,13.4,7.65,16.54,46.28,19.79,NaN,34.6,4.3,NaN
1/20/2010,52.21,21.08,43.4,6.96,NaN,55.5,41.03,32.19,30.59,9.98,51.24,17.36,25.06,19.94,48.35,6.73,23.29,25.83,87.42,30.71,27.82,68.03,8.89,16.38,211.73,56.24,27.96,13.8,15.23,16.49,9.48,3.46,27.66,16.52,24.41,13.41,22.23,11.51,NaN,83.52,11.31,13.06,7.58,16.5,46.05,19.77,NaN,33.27,4.29,NaN
1/21/2010,51.29,20.84,40.54,7.34,NaN,54.37,40.08,31.5,30.01,9.8,51.19,17.05,24.83,19.24,48.09,6.86,23.68,25.67,84.45,30.63,28,66.7,9.28,16.2,208.07,55.56,27.55,13.58,14.25,15.47,9.2,3.27,27.18,16,23.98,13.44,24.13,11.18,NaN,76.28,12.02,12.84,7.6,16.02,45.78,19.61,NaN,32.53,4.53,NaN
1/22/2010,49.29,19.91,39.16,7.25,NaN,54.24,38.87,30.58,28.96,9.13,50.89,16.46,24.15,18.96,46.78,6.6,22.91,25.39,82.73,30.34,27.26,66.1,8.97,15.88,197.75,54.51,26.5,12.63,13.4,14.9,9,3.25,26.62,15.85,22.97,13.29,23.58,10.52,NaN,74.23,12.1,12.41,7.53,16.11,46.08,18.56,NaN,31.15,4.69,NaN
1/25/2010,50.06,20.32,39.21,7.06,NaN,54.35,38.76,30.71,29.32,9.33,49.13,16.74,24.03,18.85,46.91,6.55,22.4,25.58,82.03,30.68,27.66,65.85,8.89,15.86,203.07,54.7,26.09,12.64,13.39,14.98,9.01,3.23,26.96,16.01,22.99,13.33,23.69,11.03,NaN,74.6,12.49,12.66,7.62,16.37,45.71,18.72,NaN,31.07,4.8,NaN
1/26/2010,49.74,20,38.44,6.89,NaN,54.14,38.58,30.4,29.5,9.44,49.95,16.21,23.88,18.78,46.89,6.08,22.54,25.33,81.15,30.17,26.99,65.92,8.86,15.99,205.94,54.48,24.4,12.65,13.54,14.77,9.03,3.15,26.53,15.7,22.9,13.15,24.07,11.19,NaN,71.99,11.71,12.77,7.6,16.35,44.87,18.65,NaN,30.88,4.6,NaN
1/27/2010,49.45,20.24,39.33,7.15,NaN,54.51,38.64,30.37,29.67,9.72,50.97,16.65,23.86,19,47.2,6.17,22.41,25.62,83.91,29.87,28.2,65.54,8.89,15.98,207.88,53.9,24.91,13.04,13.3,15.19,8.93,3.2,25.93,15.85,23.15,13.16,23.97,11.55,NaN,71.25,12.18,12.65,7.61,16.3,48.04,19.14,NaN,30.41,4.88,NaN
1/28/2010,47.79,19.92,39.48,7.27,NaN,54.18,37.97,30.17,29.16,9.4,63.04,16.09,23.47,18.63,40.48,6.43,22.08,25.54,82.65,29.33,28.45,64.96,8.82,15.44,199.29,53.95,24.16,12.61,12.92,15.37,8.72,3.24,25.51,15.62,22.52,12.65,23.33,11.41,NaN,68.82,12.26,12.52,7.65,16.16,47.51,18.61,NaN,29.65,4.99,NaN
1/29/2010,47.07,19.4,38.94,7.18,NaN,54.25,38.18,29.81,28.18,8.72,62.25,15.39,23.06,18.66,39.19,6.35,21.79,25.36,82.03,29.42,28.43,64.43,8.72,15.01,192.06,52.94,24.23,12.18,12.73,15.18,8.63,3.32,24.78,15.83,22.47,12.23,23.02,10.84,NaN,66.69,12.44,12.61,7.61,16.08,48.27,18.08,NaN,29.21,4.79,NaN
2/1/2010,47.83,19.61,39.63,7.34,NaN,54.38,38.3,30.65,28.41,9.17,61.03,16.57,23.22,18.79,39.77,6.64,22.23,25.38,83.66,29.61,28.93,66.18,8.97,15.05,194.73,53.34,23.96,12.52,13.36,15.42,8.42,3.34,25.86,15.94,22.73,12.63,23.17,11.12,NaN,71.59,12.5,12.53,7.62,16.25,47.81,18.16,NaN,30.65,4.9,NaN
2/2/2010,48.59,19.91,40.55,7.52,NaN,55.05,39.54,30.9,28.46,9.35,61.85,16.74,23.76,19.24,39.26,6.58,22.45,25.69,84.01,29.73,28.79,66.96,9.13,15.17,195.86,54.44,23.97,12.51,13.67,15.6,8.4,3.41,26.25,16.29,23.02,12.9,23.08,11.39,NaN,72.51,12.48,12.76,7.72,16.85,48.56,18.71,NaN,30.76,4.93,NaN
2/3/2010,48.73,19.68,40.29,7.41,NaN,54.87,38.72,30.37,28.63,9.02,61.95,16.88,23.75,18.62,39.63,6.39,22.43,25.58,83.52,29.19,28.14,66.6,8.99,15.46,199.23,54.65,23.79,12.28,13.49,15.53,8.36,3.37,25.83,15.97,23.07,12.42,23.23,11.64,NaN,70.46,12,13.67,7.71,16.68,47.54,18.95,NaN,30.36,4.71,NaN
2/4/2010,47.03,19.02,38.35,6.95,NaN,53.43,37.1,28.86,27.84,8.61,60.34,15.9,23.11,18.03,38.17,6.12,21.81,25.03,83.05,28.63,27.06,64.72,8.65,15.01,192.05,53.82,22.59,11.8,12.91,14.75,8.18,3.18,24.18,15.52,23.16,11.46,22.45,11.06,NaN,66.74,11.22,13.08,7.62,16.04,46.47,18.25,NaN,28.86,4.54,NaN
2/5/2010,47.32,19.47,38.3,6.89,NaN,53.09,36.73,28.46,28.02,8.7,60.84,16.22,23.55,17.96,38.04,6.18,21.7,25.24,82.56,28.74,27.42,64.8,8.47,15.19,195.46,53.97,22.41,12.23,13.18,15,8.21,3.22,24.52,15.42,23.7,11.3,22.71,10.91,NaN,70.23,11.26,12.96,7.62,15.79,46.38,18.05,NaN,28.29,4.63,NaN
