,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
0,8.33,41.00,6.98,1.02,322.00,2.56,37.88,-122.23,4.53
1,8.30,21.00,6.24,0.97,2401.00,2.11,37.86,-122.22,3.59
2,7.26,52.00,8.29,1.07,496.00,2.80,37.85,-122.24,3.52
3,5.64,52.00,5.82,1.07,558.00,2.55,37.85,-122.25,3.41
4,3.85,52.00,6.28,1.08,565.00,2.18,37.85,-122.25,3.42
5,4.04,52.00,4.76,1.10,413.00,2.14,37.85,-122.25,2.70
6,3.66,52.00,4.93,0.95,1094.00,2.13,37.84,-122.25,2.99
7,3.12,52.00,4.80,1.06,1157.00,1.79,37.84,-122.25,2.41
8,2.08,42.00,4.29,1.12,1206.00,2.03,37.84,-122.26,2.27
9,3.69,52.00,4.97,0.99,1551.00,2.17,37.84,-122.25,2.61
10,3.20,52.00,5.48,1.08,910.00,2.26,37.85,-122.26,2.82
11,3.27,52.00,4.77,1.03,1504.00,2.05,37.85,-122.26,2.42
12,3.08,52.00,5.32,1.01,1098.00,2.35,37.85,-122.26,2.14
13,2.67,52.00,4.00,1.10,345.00,1.98,37.84,-122.26,1.91
14,1.92,52.00,4.26,1.01,1212.00,1.96,37.85,-122.26,1.59
15,2.13,50.00,4.24,1.07,697.00,2.64,37.85,-122.26,1.40
16,2.78,52.00,5.94,1.05,793.00,2.40,37.85,-122.27,1.53
17,2.12,52.00,4.05,0.97,648.00,2.14,37.85,-122.27,1.56
18,1.99,50.00,5.34,1.09,990.00,2.36,37.84,-122.26,1.59
19,2.60,52.00,5.47,1.08,690.00,2.51,37.84,-122.27,1.63
20,1.36,40.00,4.52,1.11,409.00,2.46,37.85,-122.27,1.48
21,1.71,42.00,4.48,1.00,929.00,2.54,37.85,-122.27,1.60
22,1.73,52.00,5.10,1.13,1015.00,2.12,37.84,-122.27,1.14
23,2.18,52.00,5.19,1.04,853.00,2.63,37.84,-122.27,1.00
24,2.60,52.00,5.27,1.04,1006.00,2.38,37.84,-122.27,1.33
25,2.40,41.00,4.50,1.03,317.00,2.66,37.85,-122.28,1.08
26,2.46,49.00,4.73,1.02,607.00,2.54,37.85,-122.28,0.94
27,1.81,52.00,4.78,1.06,1102.00,2.78,37.85,-122.28,1.06
28,1.64,50.00,4.40,1.04,1131.00,2.39,37.84,-122.28,1.09
29,1.69,52.00,4.70,1.03,395.00,2.55,37.84,-122.28,1.32
30,1.93,49.00,5.07,1.18,863.00,2.28,37.84,-122.28,1.22
31,1.96,52.00,4.88,1.09,1168.00,2.65,37.84,-122.28,1.15
32,1.80,48.00,5.74,1.22,1026.00,3.06,37.84,-122.27,1.10
33,1.38,49.00,5.03,1.11,754.00,2.29,37.83,-122.27,1.05
34,2.73,51.00,4.97,1.07,1258.00,2.35,37.83,-122.27,1.10
35,1.49,49.00,4.60,1.07,570.00,2.16,37.83,-122.27,0.97
36,1.10,48.00,4.81,1.16,987.00,2.64,37.83,-122.27,1.05
37,1.41,52.00,3.75,0.97,901.00,2.24,37.83,-122.28,1.04
38,3.48,52.00,4.76,1.07,689.00,2.23,37.83,-122.26,1.91
39,2.59,52.00,3.49,1.03,1377.00,1.98,37.83,-122.26,1.76
40,2.10,52.00,4.22,1.06,946.00,2.40,37.83,-122.26,1.55
41,1.29,51.00,3.76,1.25,517.00,2.08,37.83,-122.26,1.50
42,1.03,49.00,3.77,1.07,462.00,2.44,37.84,-122.26,1.19
43,3.96,52.00,4.80,1.02,467.00,2.36,37.84,-122.26,1.89
44,3.01,52.00,4.94,1.07,660.00,2.26,37.83,-122.26,1.84
45,2.68,52.00,4.34,1.10,718.00,1.88,37.83,-122.26,1.82
46,2.03,50.00,3.70,1.06,616.00,2.03,37.83,-122.26,1.43
47,1.74,43.00,3.98,1.23,558.00,2.21,37.82,-122.27,1.38
48,0.95,40.00,3.90,1.22,423.00,2.64,37.82,-122.26,1.88
49,1.78,40.00,2.69,1.07,700.00,1.99,37.82,-122.27,1.13
50,0.92,21.00,2.05,1.03,735.00,1.68,37.82,-122.27,1.72
51,1.50,43.00,4.59,1.12,1061.00,2.61,37.82,-122.27,0.94
52,1.11,41.00,4.47,1.19,1959.00,2.72,37.82,-122.27,0.98
53,1.25,52.00,4.08,1.14,1162.00,2.91,37.82,-122.27,1.04
54,1.61,52.00,5.02,1.01,701.00,3.01,37.82,-122.28,0.88
55,1.41,52.00,4.30,1.11,576.00,2.62,37.82,-122.28,0.83
56,1.51,52.00,4.78,1.11,622.00,2.40,37.82,-122.28,0.88
57,0.82,52.00,6.10,1.37,728.00,2.98,37.82,-122.28,0.85
58,1.22,52.00,4.56,1.12,1074.00,3.53,37.82,-122.28,0.80
59,2.56,2.00,2.77,0.75,94.00,1.65,37.82,-122.29,0.60
60,3.39,52.00,6.00,1.13,554.00,2.96,37.83,-122.29,0.76
61,6.12,49.00,5.87,1.26,86.00,3.74,37.82,-122.29,0.75
62,0.90,50.00,6.23,1.56,377.00,3.09,37.81,-122.29,0.86
63,1.19,52.00,7.70,1.49,521.00,3.28,37.81,-122.30,0.76
64,2.59,48.00,6.23,1.37,392.00,2.95,37.81,-122.30,0.74
65,1.17,52.00,5.40,1.12,604.00,3.23,37.81,-122.30,0.78
66,0.81,48.00,4.38,1.07,788.00,2.37,37.81,-122.30,0.84
67,2.61,52.00,6.99,1.66,492.00,3.35,37.80,-122.29,0.81
68,1.85,52.00,6.98,1.33,274.00,3.34,37.81,-122.30,0.85
69,0.98,46.00,4.58,1.05,1823.00,2.98,37.81,-122.29,1.29
70,1.77,26.00,6.05,1.20,392.00,3.09,37.81,-122.29,0.83
71,0.73,46.00,3.38,1.07,582.00,2.10,37.81,-122.29,0.95
72,1.75,49.00,5.55,1.34,560.00,3.68,37.81,-122.29,0.75
73,0.50,46.00,1.71,0.57,18.00,2.57,37.81,-122.29,0.68
74,2.48,20.00,6.28,1.21,290.00,2.18,37.81,-122.29,1.38
75,0.92,17.00,2.82,1.05,762.00,1.74,37.81,-122.28,1.78
76,2.45,36.00,5.73,1.10,1236.00,2.43,37.81,-122.28,1.02
77,1.11,19.00,5.83,1.17,721.00,3.48,37.81,-122.28,1.08
78,0.80,23.00,5.37,1.15,1054.00,3.24,37.81,-122.29,1.13
79,2.01,38.00,4.41,1.14,344.00,2.22,37.80,-122.28,1.31
80,1.50,17.00,3.20,1.00,609.00,2.11,37.81,-122.28,1.63
81,1.17,52.00,3.75,1.00,183.00,3.27,37.81,-122.27,1.13
82,1.52,52.00,3.91,1.12,200.00,2.30,37.81,-122.28,1.13
83,0.81,52.00,2.49,1.06,346.00,2.23,37.81,-122.28,1.38
84,1.81,35.00,5.61,1.09,467.00,2.76,37.81,-122.28,1.19
85,2.41,52.00,6.72,1.24,377.00,3.28,37.81,-122.28,0.98
86,0.98,40.00,2.32,1.19,582.00,1.53,37.81,-122.27,1.19
87,0.76,10.00,2.65,1.06,546.00,1.66,37.81,-122.27,1.63
88,0.97,10.00,2.69,1.08,125.00,3.21,37.80,-122.27,1.38
89,1.24,52.00,2.93,0.92,396.00,4.66,37.80,-122.27,5.00
90,2.09,16.00,2.75,1.08,800.00,2.21,37.80,-122.27,1.63
91,0.87,52.00,2.44,0.99,904.00,10.27,37.80,-122.28,1.38
92,0.75,52.00,2.82,0.91,191.00,5.62,37.80,-122.28,1.63
93,2.64,27.00,3.49,1.15,718.00,2.38,37.79,-122.27,1.88
94,1.85,39.00,3.67,1.33,1327.00,2.84,37.80,-122.27,1.79
95,2.01,36.00,2.29,1.07,3469.00,1.49,37.80,-122.26,1.30
96,2.83,31.00,3.90,1.13,2048.00,1.74,37.82,-122.26,1.84
97,2.01,29.00,3.68,1.18,202.00,2.22,37.81,-122.26,1.25
98,1.22,22.00,2.95,1.02,2024.00,1.62,37.82,-122.26,1.70
99,2.61,37.00,3.71,1.11,1838.00,1.88,37.82,-122.26,1.93
100,2.49,29.00,3.73,1.13,2304.00,1.84,37.81,-122.25,2.58
101,3.22,28.00,3.88,1.07,2563.00,1.71,37.81,-122.25,2.73
102,3.13,39.00,3.75,1.06,389.00,1.71,37.81,-122.25,2.38
103,2.58,52.00,3.52,1.14,895.00,1.46,37.81,-122.25,3.50
104,2.84,34.00,3.28,1.07,2689.00,1.50,37.81,-122.26,3.36
105,4.93,52.00,6.18,0.92,674.00,2.76,37.82,-122.24,3.13
106,3.27,52.00,4.44,1.06,709.00,1.56,37.81,-122.24,2.69
107,3.17,52.00,4.17,1.09,686.00,1.63,37.81,-122.25,2.59
108,3.90,52.00,4.85,1.05,1444.00,2.01,37.82,-122.24,2.76
109,3.91,28.00,4.16,1.07,1520.00,1.90,37.82,-122.25,2.25
110,5.09,52.00,5.63,1.14,550.00,2.17,37.82,-122.25,2.63
111,2.64,32.00,3.73,1.07,1806.00,1.77,37.82,-122.25,2.19
112,3.02,26.00,3.25,0.98,1749.00,1.44,37.82,-122.25,2.55
113,3.15,52.00,4.58,1.08,939.00,1.81,37.83,-122.25,2.24
114,3.47,35.00,3.82,1.01,675.00,1.60,37.83,-122.25,2.43
115,3.14,52.00,4.40,0.99,534.00,1.84,37.83,-122.25,2.32
116,2.42,28.00,3.02,1.05,2558.00,1.54,37.83,-122.25,2.19
117,3.09,52.00,4.04,1.07,1786.00,1.72,37.83,-122.25,2.34
118,5.86,50.00,6.74,1.07,970.00,2.60,37.84,-122.23,3.28
119,5.29,47.00,6.55,0.94,1098.00,2.26,37.84,-122.23,3.48
120,5.96,41.00,6.85,1.08,794.00,2.11,37.83,-122.24,3.66
121,4.96,37.00,7.11,1.15,98.00,2.09,37.85,-122.24,3.35
122,6.34,52.00,6.95,1.02,1061.00,2.63,37.85,-122.23,3.74
123,5.18,52.00,6.36,1.03,1177.00,2.12,37.84,-122.24,3.90
124,7.24,52.00,7.12,1.00,901.00,2.46,37.85,-122.24,3.91
125,5.46,28.00,5.53,1.10,2031.00,2.12,37.85,-122.22,3.37
126,7.50,50.00,6.13,0.99,1031.00,2.15,37.84,-122.22,2.95
127,6.02,44.00,5.74,1.00,1358.00,2.28,37.84,-122.21,2.92
128,7.55,40.00,7.63,1.03,1616.00,2.47,37.83,-122.21,4.12
129,6.07,30.00,6.45,1.01,844.00,2.46,37.84,-122.20,3.12
130,7.06,34.00,6.13,0.99,1140.00,2.30,37.84,-122.21,3.26
131,11.60,18.00,8.34,1.08,533.00,2.75,37.84,-122.19,3.93
132,7.49,35.00,6.47,1.04,1072.00,2.42,37.84,-122.20,3.19
133,6.90,34.00,6.61,1.03,1627.00,2.12,37.83,-122.21,3.33
134,8.21,28.00,6.98,0.97,463.00,2.44,37.83,-122.19,3.35
135,8.40,26.00,7.53,1.06,542.00,2.57,37.83,-122.20,3.51
136,6.85,29.00,6.66,1.01,661.00,2.46,37.83,-122.19,3.69
137,8.32,32.00,6.98,1.00,635.00,2.41,37.82,-122.19,3.66
138,7.02,37.00,6.98,1.03,420.00,2.39,37.82,-122.20,3.67
139,6.33,39.00,7.54,1.07,1265.00,2.53,37.82,-122.20,3.63
140,6.36,30.00,5.62,0.73,126.00,2.42,37.81,-122.18,4.83
141,7.06,52.00,6.79,0.95,813.00,2.32,37.82,-122.21,3.31
142,6.79,45.00,6.96,1.02,1067.00,2.51,37.81,-122.20,3.24
143,2.89,50.00,5.13,1.10,1260.00,2.28,37.80,-122.21,2.17
144,3.08,38.00,4.63,1.10,951.00,1.95,37.80,-122.21,2.33
145,5.24,52.00,6.20,0.95,510.00,2.28,37.81,-122.21,2.96
146,6.52,52.00,6.40,1.09,765.00,2.48,37.81,-122.22,2.74
147,3.26,52.00,4.75,1.01,1129.00,2.45,37.80,-122.22,2.28
148,3.03,52.00,5.18,1.05,1073.00,2.43,37.80,-122.22,2.00
149,4.54,52.00,5.28,1.05,1185.00,2.30,37.80,-122.22,2.40
150,4.07,52.00,5.95,1.00,756.00,2.22,37.81,-122.22,2.70
151,5.35,52.00,5.65,1.03,1034.00,1.99,37.81,-122.22,3.02
152,3.16,52.00,4.43,1.06,787.00,1.72,37.80,-122.23,2.70
153,4.77,52.00,6.73,1.08,612.00,2.87,37.81,-122.23,3.15
154,8.16,52.00,7.70,1.06,1021.00,2.69,37.81,-122.22,3.90
155,8.88,52.00,8.97,1.13,861.00,3.34,37.81,-122.23,4.10
156,6.86,52.00,7.60,0.96,953.00,2.91,37.81,-122.24,3.52
157,6.03,52.00,5.82,0.93,634.00,2.48,37.81,-122.24,2.87
158,7.51,52.00,7.99,1.04,878.00,2.49,37.81,-122.23,3.49
159,2.75,52.00,4.33,1.14,918.00,1.90,37.81,-122.24,2.44
160,2.19,52.00,5.07,0.96,360.00,2.06,37.80,-122.24,2.12
161,3.02,52.00,4.28,1.05,1197.00,2.45,37.80,-122.25,2.18
162,3.68,52.00,4.85,0.97,1048.00,2.02,37.81,-122.24,2.70
163,3.23,46.00,4.33,1.12,1373.00,1.84,37.81,-122.25,2.19
164,2.93,42.00,4.06,1.05,1715.00,1.69,37.80,-122.25,2.25
165,2.14,43.00,3.27,1.10,1359.00,1.88,37.80,-122.25,2.50
166,1.61,41.00,3.56,1.14,1062.00,2.57,37.80,-122.25,1.71
167,1.39,29.00,3.19,1.12,1335.00,1.73,37.80,-122.25,1.94
168,2.32,27.00,3.80,1.15,1171.00,2.73,37.79,-122.24,1.25
169,1.78,45.00,3.88,1.14,1475.00,3.21,37.79,-122.25,0.98
170,2.65,50.00,3.21,0.96,742.00,3.79,37.79,-122.25,1.25
171,2.18,52.00,3.69,1.08,1086.00,2.99,37.79,-122.25,1.39
172,2.23,36.00,3.09,1.12,1645.00,3.03,37.80,-122.25,1.17
173,1.65,43.00,3.64,1.01,1710.00,2.66,37.80,-122.25,1.52
174,2.27,52.00,4.37,1.00,731.00,3.21,37.80,-122.24,1.27
175,2.16,52.00,4.59,1.08,1118.00,3.22,37.80,-122.24,1.29
176,2.14,52.00,4.73,1.19,1006.00,3.00,37.80,-122.24,1.41
177,2.63,47.00,3.69,1.06,1213.00,2.19,37.80,-122.24,1.83
178,2.38,52.00,4.64,1.13,772.00,3.00,37.80,-122.23,1.47
179,2.96,52.00,4.50,1.05,1321.00,3.29,37.80,-122.24,1.23
180,2.52,49.00,4.19,1.11,1487.00,2.20,37.80,-122.24,1.69
181,1.94,52.00,4.21,0.99,488.00,2.62,37.80,-122.23,1.27
182,1.90,51.00,4.06,1.06,949.00,2.42,37.80,-122.23,1.28
183,2.25,50.00,4.21,1.16,1149.00,2.77,37.80,-122.23,1.24
184,2.39,52.00,4.47,1.07,844.00,3.01,37.80,-122.23,1.12
185,2.19,43.00,4.84,1.09,4367.00,3.55,37.79,-122.23,1.13
186,2.94,52.00,4.33,0.96,1659.00,4.03,37.79,-122.23,1.08
187,1.89,30.00,3.80,1.00,1011.00,3.84,37.79,-122.23,1.38
188,2.16,39.00,3.78,1.11,1464.00,3.76,37.79,-122.24,1.06
189,2.13,47.00,4.53,1.30,1237.00,4.08,37.79,-122.24,0.96
190,3.38,52.00,4.01,1.07,647.00,3.85,37.79,-122.24,1.16
191,2.25,43.00,4.56,1.05,1284.00,3.60,37.79,-122.24,1.12
