date,EBAY,YHOO
1/4/2010,23.9,17.1
1/5/2010,23.65,17.23
1/6/2010,23.5,17.17
1/7/2010,23.23,16.7
1/8/2010,23.51,16.7
1/11/2010,23.45,16.74
1/12/2010,23.19,16.68
1/13/2010,23.6,16.9
1/14/2010,22.88,17.12
1/15/2010,22.47,16.82
1/19/2010,23.26,16.75
1/20/2010,22.23,16.38
1/21/2010,24.13,16.2
1/22/2010,23.58,15.88
1/25/2010,23.69,15.86
1/26/2010,24.07,15.99
1/27/2010,23.97,15.98
1/28/2010,23.33,15.44
1/29/2010,23.02,15.01
2/1/2010,23.17,15.05
2/2/2010,23.08,15.17
2/3/2010,23.23,15.46
2/4/2010,22.45,15.01
2/5/2010,22.71,15.19
2/8/2010,22.49,14.99
2/9/2010,22.37,15.07
2/10/2010,21.96,14.8
2/11/2010,22.13,15.22
2/12/2010,21.77,15.17
2/16/2010,22.52,15.41
2/17/2010,22.68,15.44
2/18/2010,22.84,15.54
2/19/2010,23.42,15.58
2/22/2010,23.28,15.49
2/23/2010,22.89,15.38
2/24/2010,23.26,15.59
2/25/2010,23,15.24
2/26/2010,23.02,15.31
3/1/2010,23.88,15.79
3/2/2010,23.99,15.73
3/3/2010,23.51,15.57
3/4/2010,23.78,15.81
3/5/2010,24.63,16.06
3/8/2010,24.84,16.52
3/9/2010,25.51,16.53
3/10/2010,25.56,16.79
3/11/2010,25.44,16.53
3/12/2010,25.97,16.32
3/15/2010,26.28,16.46
3/16/2010,26.79,16.36
3/17/2010,26.98,16.5
3/18/2010,27.46,16.56
3/19/2010,27.19,16.44
3/22/2010,27.07,16.34
3/23/2010,27.05,16.03
3/24/2010,26.94,16.09
3/25/2010,27.56,16.32
3/26/2010,27.45,16.54
3/29/2010,27.28,16.56
3/30/2010,27.14,16.61
3/31/2010,26.97,16.53
4/1/2010,26.57,16.29
4/5/2010,27.37,16.51
4/6/2010,27.27,16.92
4/7/2010,26.85,16.87
4/8/2010,26.46,17.35
4/9/2010,26.55,17.52
4/12/2010,26.63,17.64
4/13/2010,26.64,18.18
4/14/2010,27.04,18.38
4/15/2010,26.98,18.97
4/16/2010,26.33,18.17
4/19/2010,26.32,18.39
4/20/2010,26.4,18.38
4/21/2010,26.29,17.45
4/22/2010,24.78,17.72
4/23/2010,24.55,17.64
4/26/2010,24.56,17.39
4/27/2010,23.77,16.92
4/28/2010,23.99,16.75
4/29/2010,24.24,16.97
4/30/2010,23.78,16.53
5/3/2010,23.91,16.95
5/4/2010,23.08,16.32
5/5/2010,22.66,16.49
5/6/2010,22.27,15.92
5/7/2010,21.48,15.29
5/10/2010,22.33,16.33
5/11/2010,22.38,16.41
5/12/2010,22.51,16.47
5/13/2010,22.68,16.14
5/14/2010,22.25,16.39
5/17/2010,22.51,16.27
5/18/2010,22.17,16.03
5/19/2010,21.64,15.79
5/20/2010,20.81,15.1
5/21/2010,21.42,15.48
5/24/2010,21.36,15.54
5/25/2010,21.59,15.31
5/26/2010,21.38,15.45
5/27/2010,21.91,15.69
5/28/2010,21.41,15.34
6/1/2010,20.96,15.02
6/2/2010,21.25,15.18
6/3/2010,22.18,15.43
6/4/2010,21.99,15
6/7/2010,21.55,14.94
6/8/2010,21.69,14.79
6/9/2010,21.78,14.69
6/10/2010,22.28,15.1
6/11/2010,22.65,15.29
6/14/2010,22.21,15.17
6/15/2010,22.39,15.65
6/16/2010,22.13,15.49
6/17/2010,22.1,15.6
6/18/2010,22.16,15.54
6/21/2010,21.87,15.21
6/22/2010,21.56,15.09
6/23/2010,21.34,15.23
6/24/2010,20.86,14.83
6/25/2010,20.95,14.81
6/28/2010,20.71,14.73
6/29/2010,19.69,14.04
6/30/2010,19.61,13.84
7/1/2010,19.64,14.09
7/2/2010,19.26,14.07
7/6/2010,19.35,14.13
7/7/2010,19.81,14.4
7/8/2010,19.89,14.6
7/9/2010,20.29,14.89
7/12/2010,20.22,14.94
7/13/2010,21.01,15.52
7/14/2010,21.11,15.37
7/15/2010,21.03,15.37
7/16/2010,20.09,14.9
7/19/2010,20.4,15.1
7/20/2010,20.79,15.2
7/21/2010,20.17,13.91
7/22/2010,20.94,13.88
7/23/2010,21.09,13.99
7/26/2010,21.14,14.15
7/27/2010,21.04,13.95
7/28/2010,21.04,13.87
7/29/2010,20.77,13.76
7/30/2010,20.91,13.88
8/2/2010,21.46,14
8/3/2010,20.97,13.94
8/4/2010,21.1,14.18
8/5/2010,21.07,14.16
8/6/2010,21.45,14.34
8/9/2010,21.98,14.4
8/10/2010,21.91,14.35
8/11/2010,21.25,13.87
8/12/2010,21.59,13.85
8/13/2010,21.5,13.83
8/16/2010,22.05,13.79
