date,EBAY,NVDA,YHOO
1/4/2010,23.9,18.49,17.1
1/5/2010,23.65,18.76,17.23
1/6/2010,23.5,18.88,17.17
1/7/2010,23.23,18.51,16.7
1/8/2010,23.51,18.55,16.7
1/11/2010,23.45,18.29,16.74
1/12/2010,23.19,17.67,16.68
1/13/2010,23.6,17.91,16.9
1/14/2010,22.88,17.63,17.12
1/15/2010,22.47,17.11,16.82
1/19/2010,23.26,17.43,16.75
1/20/2010,22.23,17.36,16.38
1/21/2010,24.13,17.05,16.2
1/22/2010,23.58,16.46,15.88
1/25/2010,23.69,16.74,15.86
1/26/2010,24.07,16.21,15.99
1/27/2010,23.97,16.65,15.98
1/28/2010,23.33,16.09,15.44
1/29/2010,23.02,15.39,15.01
2/1/2010,23.17,16.57,15.05
2/2/2010,23.08,16.74,15.17
2/3/2010,23.23,16.88,15.46
2/4/2010,22.45,15.9,15.01
2/5/2010,22.71,16.22,15.19
2/8/2010,22.49,16.19,14.99
2/9/2010,22.37,16.06,15.07
2/10/2010,21.96,16.37,14.8
2/11/2010,22.13,17.12,15.22
2/12/2010,21.77,17.35,15.17
2/16/2010,22.52,17.67,15.41
2/17/2010,22.68,17.84,15.44
2/18/2010,22.84,16.67,15.54
2/19/2010,23.42,16.58,15.58
2/22/2010,23.28,16.61,15.49
2/23/2010,22.89,16.21,15.38
2/24/2010,23.26,16.55,15.59
2/25/2010,23,16.4,15.24
2/26/2010,23.02,16.2,15.31
3/1/2010,23.88,16.85,15.79
3/2/2010,23.99,16.84,15.73
3/3/2010,23.51,16.63,15.57
3/4/2010,23.78,16.66,15.81
3/5/2010,24.63,17.17,16.06
3/8/2010,24.84,16.92,16.52
3/9/2010,25.51,17.55,16.53
3/10/2010,25.56,17.59,16.79
3/11/2010,25.44,17.19,16.53
3/12/2010,25.97,17.25,16.32
3/15/2010,26.28,17.16,16.46
3/16/2010,26.79,17.76,16.36
3/17/2010,26.98,18.1,16.5
3/18/2010,27.46,17.46,16.56
3/19/2010,27.19,17.25,16.44
3/22/2010,27.07,17.53,16.34
3/23/2010,27.05,17.89,16.03
3/24/2010,26.94,17.29,16.09
