date,AAPL
1/4/2010,NaN
1/5/2010,NaN
1/6/2010,NaN
1/7/2010,NaN
1/8/2010,NaN
1/11/2010,NaN
1/12/2010,NaN
1/13/2010,NaN
1/14/2010,NaN
1/15/2010,NaN
1/19/2010,NaN
1/20/2010,NaN
1/21/2010,NaN
1/22/2010,NaN
1/25/2010,NaN
1/26/2010,NaN
1/27/2010,NaN
1/28/2010,NaN
1/29/2010,NaN
2/1/2010,-6.25E-02
2/2/2010,-5.25E-02
2/3/2010,-3.16E-02
2/4/2010,-6.37E-02
2/5/2010,-4.25E-02
2/8/2010,-4.50E-02
2/9/2010,-3.08E-02
2/10/2010,-3.32E-02
2/11/2010,-1.16E-02
2/12/2010,-2.55E-04
2/16/2010,1.63E-02
2/17/2010,1.52E-02
2/18/2010,1.95E-02
2/19/2010,1.46E-02
2/22/2010,7.24E-03
2/23/2010,-8.95E-03
2/24/2010,1.15E-02
2/25/2010,2.02E-02
2/26/2010,3.27E-02
3/1/2010,5.13E-02
3/2/2010,4.66E-02
3/3/2010,4.55E-02
3/4/2010,4.96E-02
3/5/2010,8.53E-02
3/8/2010,7.93E-02
3/9/2010,9.17E-02
3/10/2010,9.30E-02
3/11/2010,8.80E-02
3/12/2010,8.59E-02
3/15/2010,6.56E-02
3/16/2010,6.31E-02
3/17/2010,5.57E-02
3/18/2010,5.27E-02
3/19/2010,3.56E-02
3/22/2010,4.17E-02
3/23/2010,5.13E-02
3/24/2010,4.89E-02
3/25/2010,2.97E-02
3/26/2010,4.35E-02
3/29/2010,4.48E-02
3/30/2010,5.45E-02
3/31/2010,4.41E-02
4/1/2010,4.25E-02
4/5/2010,4.95E-02
4/6/2010,4.94E-02
4/7/2010,5.01E-02
4/8/2010,4.34E-02
4/9/2010,4.80E-02
4/12/2010,4.65E-02
4/13/2010,4.27E-02
4/14/2010,5.25E-02
4/15/2010,6.12E-02
4/16/2010,4.90E-02
4/19/2010,4.17E-02
4/20/2010,2.62E-02
4/21/2010,8.37E-02
4/22/2010,1.07E-01
4/23/2010,1.15E-01
4/26/2010,1.00E-01
4/27/2010,6.12E-02
4/28/2010,5.35E-02
4/29/2010,7.58E-02
4/30/2010,3.84E-02
5/3/2010,5.44E-02
5/4/2010,1.83E-02
5/5/2010,3.98E-03
5/6/2010,-3.74E-02
5/7/2010,-7.89E-02
5/10/2010,-6.75E-03
5/11/2010,7.60E-04
5/12/2010,2.02E-02
5/13/2010,3.00E-03
5/14/2010,-1.68E-02
